n,s,trial,n_compares,time_taken_ms
1000,26,27,10413,32
1000,26,28,10199,32
1000,26,29,10378,33
1000,27,0,10263,32
1000,27,1,10302,32
1000,27,2,10185,32
1000,27,3,10248,31
1000,27,4,10456,32
1000,27,5,10164,32
1000,27,6,10400,32
1000,27,7,10319,33
1000,27,8,10380,32
1000,27,9,10238,32
1000,27,10,10328,32
1000,27,11,10475,32
1000,27,12,10441,32
1000,27,13,10309,32
1000,27,14,10341,32
1000,27,15,10433,32
1000,27,16,10443,32
1000,27,17,10261,32
1000,27,18,10359,32
1000,27,19,10353,31
1000,27,20,10464,32
1000,27,21,10259,36
1000,27,22,10425,32
1000,27,23,10385,32
1000,27,24,10396,32
1000,27,25,10390,32
1000,27,26,10424,32
1000,27,27,10413,31
1000,27,28,10199,32
1000,27,29,10378,32
1000,28,0,10263,32
1000,28,1,10302,32
1000,28,2,10185,32
1000,28,3,10248,31
1000,28,4,10456,32
1000,28,5,10164,32
1000,28,6,10400,32
1000,28,7,10319,32
1000,28,8,10380,32
1000,28,9,10238,32
1000,28,10,10328,32
1000,28,11,10475,32
1000,28,12,10441,32
1000,28,13,10309,33
1000,28,14,10341,32
1000,28,15,10433,32
1000,28,16,10443,32
1000,28,17,10261,32
1000,28,18,10359,32
1000,28,19,10353,31
1000,28,20,10464,32
1000,28,21,10259,32
1000,28,22,10425,32
1000,28,23,10385,32
1000,28,24,10396,32
1000,28,25,10390,32
1000,28,26,10424,32
1000,28,27,10413,32
1000,28,28,10199,32
1000,28,29,10378,32
1000,29,0,10263,32
1000,29,1,10302,32
1000,29,2,10185,31
1000,29,3,10248,31
1000,29,4,10456,32
1000,29,5,10164,32
1000,29,6,10400,40
1000,29,7,10319,33
1000,29,8,10380,32
1000,29,9,10238,32
1000,29,10,10328,32
1000,29,11,10475,32
1000,29,12,10441,32
1000,29,13,10309,32
1000,29,14,10341,32
1000,29,15,10433,32
1000,29,16,10443,32
1000,29,17,10261,32
1000,29,18,10359,32
1000,29,19,10353,32
1000,29,20,10464,32
1000,29,21,10259,32
1000,29,22,10425,32
1000,29,23,10385,33
1000,29,24,10396,32
1000,29,25,10390,32
1000,29,26,10424,32
1000,29,27,10413,31
1000,29,28,10199,40
1000,29,29,10378,32
1000,30,0,10263,32
1000,30,1,10302,32
1000,30,2,10185,32
1000,30,3,10248,32
1000,30,4,10456,32
1000,30,5,10164,32
1000,30,6,10400,32
1000,30,7,10319,32
1000,30,8,10380,33
1000,30,9,10238,32
1000,30,10,10328,32
1000,30,11,10475,32
1000,30,12,10441,32
1000,30,13,10309,32
1000,30,14,10341,32
1000,30,15,10433,32
1000,30,16,10443,32
1000,30,17,10261,32
1000,30,18,10359,32
1000,30,19,10353,32
1000,30,20,10464,36
1000,30,21,10259,32
1000,30,22,10425,32
1000,30,23,10385,32
1000,30,24,10396,32
1000,30,25,10390,32
1000,30,26,10424,32
1000,30,27,10413,32
1000,30,28,10199,32
1000,30,29,10378,32
1000,31,0,12151,29
1000,31,1,12527,29
1000,31,2,12395,29
1000,31,3,12547,28
1000,31,4,12652,29
1000,31,5,12400,28
1000,31,6,12738,29
1000,31,7,12591,29
1000,31,8,12436,29
1000,31,9,12435,29
1000,31,10,12543,28
1000,31,11,12892,29
1000,31,12,12686,29
1000,31,13,12562,29
1000,31,14,12777,29
1000,31,15,12844,28
1000,31,16,12805,29
1000,31,17,12426,28
1000,31,18,12696,28
1000,31,19,12547,28
1000,31,20,12960,28
1000,31,21,12504,28
1000,31,22,12698,29
1000,31,23,12626,29
1000,31,24,12731,29
1000,31,25,12868,28
1000,31,26,12587,29
1000,31,27,12687,28
1000,31,28,12298,28
1000,31,29,12525,29
1000,32,0,13038,27
1000,32,1,13451,27
1000,32,2,13112,27
1000,32,3,13242,27
1000,32,4,13463,27
1000,32,5,13134,27
1000,32,6,13502,28
1000,32,7,13409,27
1000,32,8,13224,32
1000,32,9,13196,27
1000,32,10,13338,27
1000,32,11,13787,27
1000,32,12,13541,27
1000,32,13,13444,27
1000,32,14,13576,27
1000,32,15,13649,28
1000,32,16,13584,28
1000,32,17,13233,27
1000,32,18,13539,27
1000,32,19,13313,27
1000,32,20,13807,28
1000,32,21,13261,27
1000,32,22,13505,27
1000,32,23,13366,28
1000,32,24,13616,27
1000,32,25,13645,28
1000,32,26,13220,28
1000,32,27,13319,27
1000,32,28,12932,27
1000,32,29,13274,27
1000,33,0,13038,27
1000,33,1,13451,27
1000,33,2,13112,27
1000,33,3,13242,31
1000,33,4,13463,27
1000,33,5,13134,27
1000,33,6,13502,28
1000,33,7,13409,27
1000,33,8,13224,27
1000,33,9,13196,28
1000,33,10,13338,27
1000,33,11,13787,27
1000,33,12,13541,27
1000,33,13,13444,27
1000,33,14,13576,27
1000,33,15,13649,28
1000,33,16,13584,27
1000,33,17,13233,27
1000,33,18,13539,27
1000,33,19,13313,27
1000,33,20,13807,27
1000,33,21,13261,27
1000,33,22,13505,28
1000,33,23,13366,27
1000,33,24,13616,28
1000,33,25,13645,27
1000,33,26,13220,27
1000,33,27,13319,27
